	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(fold change)	Measured pAkt:30min log10(fold change)	Measured pAkt:90min log10(fold change)	Measured pErk:10min log10(fold change)	Measured pErk:30min log10(fold change)	Measured pErk:90min log10(fold change)
0	50029	MCF7	200852.0	BTC	1.0	ng/ml	0.039779125333	0.284396347279	-0.163429105577	2.10616879712	1.97356482286	1.48130868935
1	50029	MCF7	200852.0	BTC	100.0	ng/ml	0.573525402009	0.415870234088	0.216872980256	2.37486397476	2.14656299859	1.43549490149
2	50057	SK-BR-3	200852.0	BTC	1.0	ng/ml	0.28498026194	0.304338372561	0.07230867139	1.20623415576	1.1694001889	1.06907607032
3	50057	SK-BR-3	200852.0	BTC	100.0	ng/ml	0.696728124497	0.703515276828	0.69046895085	1.23473980249	1.20162182332	1.10072865663
4	50058	MDA-MB-231	200852.0	BTC	1.0	ng/ml	0.573909049484	0.138846138768	0.0248862692162	1.6677354785	1.57350597838	1.42849489767
5	50058	MDA-MB-231	200852.0	BTC	100.0	ng/ml	0.731137524928	0.562538028971	0.256774425889	1.78849748895	1.50863322467	1.26627449864
6	50091	AU565	200852.0	BTC	1.0	ng/ml	0.0587633997185	0.165724664719	-0.03456051892	0.593638278617	0.590691395266	0.43570987258
7	50091	AU565	200852.0	BTC	100.0	ng/ml	0.523601272129	0.64508830432	0.558839941923	0.653131860602	0.662955560598	0.561566856759
8	50105	BT-20	200852.0	BTC	1.0	ng/ml	0.307871784645	0.279679611426	0.24731514039	1.81607367707	1.73409689619	1.68573961732
9	50105	BT-20	200852.0	BTC	100.0	ng/ml	0.316061937878	0.343287642812	0.311939018501	1.8357198808	1.80198978058	1.72469825036
10	50106	BT-474	200852.0	BTC	1.0	ng/ml	0.0639092197518	0.0671503137018	0.0186376962276	0.53025170348	0.409583201489	0.296166086155
11	50106	BT-474	200852.0	BTC	100.0	ng/ml	0.541339547643	0.585055286198	0.640799570377	0.746313921786	0.618235768259	0.456966002929
12	50107	BT-483	200852.0	BTC	1.0	ng/ml	0.0608741060573	0.0343283260681	-0.120740631184	1.78217200377	1.40213944259	0.858243243142
13	50107	BT-483	200852.0	BTC	100.0	ng/ml	0.189966296965	0.240869957904	0.254663544681	1.95943107939	1.22962408668	0.714465481288
14	50108	BT-549	200852.0	BTC	1.0	ng/ml	0.0862597324776	0.0162844687559	0.0190395884853	0.58500307034	0.312080753488	0.42564797043
15	50108	BT-549	200852.0	BTC	100.0	ng/ml	0.222552117539	0.163437068342	-0.0072496851999	0.914088289629	0.585552065781	0.178642240398
16	50131	CAMA-1	200852.0	BTC	1.0	ng/ml	0.0851338676533	0.164702778562	-0.00682853539126	2.29254342379	2.31658483098	1.95010766073
17	50131	CAMA-1	200852.0	BTC	100.0	ng/ml	0.233536008235	0.358849842261	0.2430429844	2.62601836689	2.23499948048	1.98617407131
18	50206	HCC1395	200852.0	BTC	1.0	ng/ml	0.24432514429	0.314166295391	0.32233900576	0.875285043755	0.823028536371	0.648490943723
19	50206	HCC1395	200852.0	BTC	100.0	ng/ml	0.333368645095	0.364914817651	0.224850214201	0.922431915776	0.69002086549	0.0
20	50207	HCC1419	200852.0	BTC	1.0	ng/ml	0.185496901796	0.0813727721993	-0.153886985795	0.189218093758	0.0140369300634	0.0614238897665
21	50207	HCC1419	200852.0	BTC	100.0	ng/ml	0.429042971923	0.393725030228	0.298645692295	0.304683871979	0.161262855815	0.227620930667
22	50208	HCC1428	200852.0	BTC	1.0	ng/ml	0.0	0.0	0.0	2.40779613867	2.30080311989	1.9308246615
23	50208	HCC1428	200852.0	BTC	100.0	ng/ml	0.0	0.0	0.0	2.50758631528	2.16541688329	1.52843210694
24	50210	HCC1569	200852.0	BTC	1.0	ng/ml	0.164910403306	0.211388688387	0.0705001383478	0.910912387118	0.81338553968	0.579087545829
25	50210	HCC1569	200852.0	BTC	100.0	ng/ml	0.582453238817	0.599808196543	0.508260255562	0.945608854892	0.838836773349	0.63859787243
